Memory Length,4000,
Trigger Level,1.59900e+00,
Source,CH1,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,5.00000e-02,
Vertical Position,-1.00000e-01,
Horizontal Units,S,
Horizontal Scale,1.00000e-02,
Horizontal Position,-4.0000000e-04,
Horizontal Mode,Main,
Sampling Period,4.00000e-05,
Firmware,V1.11,
Time, ,
Mode,Detail,
Waveform Data,
-8.040000e-2,4.40e-2,
-8.036000e-2,4.40e-2,
-8.032000e-2,4.60e-2,
-8.028000e-2,4.40e-2,
-8.024000e-2,4.60e-2,
-8.020000e-2,4.40e-2,
-8.016000e-2,4.40e-2,
-8.012000e-2,4.40e-2,
-8.008000e-2,4.60e-2,
-8.004000e-2,4.40e-2,
-8.000000e-2,4.80e-2,
-7.996000e-2,4.60e-2,
-7.992000e-2,4.60e-2,
-7.988000e-2,4.60e-2,
-7.984000e-2,4.60e-2,
-7.980000e-2,4.80e-2,
-7.976000e-2,4.60e-2,
-7.972000e-2,4.60e-2,
-7.968000e-2,4.40e-2,
-7.964000e-2,4.60e-2,
-7.960000e-2,4.40e-2,
-7.956000e-2,4.40e-2,
-7.952000e-2,4.60e-2,
-7.948000e-2,4.40e-2,
-7.944000e-2,4.20e-2,
-7.940000e-2,4.60e-2,
-7.936000e-2,4.80e-2,
-7.932000e-2,4.40e-2,
-7.928000e-2,4.60e-2,
-7.924000e-2,4.60e-2,
-7.920000e-2,4.60e-2,
-7.916000e-2,4.60e-2,
-7.912000e-2,4.40e-2,
-7.908000e-2,4.40e-2,
-7.904000e-2,4.40e-2,
-7.900000e-2,4.40e-2,
-7.896000e-2,4.60e-2,
-7.892000e-2,4.60e-2,
-7.888000e-2,4.60e-2,
-7.884000e-2,4.60e-2,
-7.880000e-2,4.40e-2,
-7.876000e-2,4.60e-2,
-7.872000e-2,4.60e-2,
-7.868000e-2,4.60e-2,
-7.864000e-2,4.80e-2,
-7.860000e-2,5.00e-2,
-7.856000e-2,4.60e-2,
-7.852000e-2,4.60e-2,
-7.848000e-2,4.80e-2,
-7.844000e-2,4.60e-2,
-7.840000e-2,4.80e-2,
-7.836000e-2,4.40e-2,
-7.832000e-2,4.80e-2,
-7.828000e-2,5.20e-2,
-7.824000e-2,5.60e-2,
-7.820000e-2,6.40e-2,
-7.816000e-2,7.40e-2,
-7.812000e-2,7.80e-2,
-7.808000e-2,8.20e-2,
-7.804000e-2,8.40e-2,
-7.800000e-2,8.40e-2,
-7.796000e-2,8.40e-2,
-7.792000e-2,8.40e-2,
-7.788000e-2,8.40e-2,
-7.784000e-2,8.40e-2,
-7.780000e-2,8.40e-2,
-7.776000e-2,8.40e-2,
-7.772000e-2,8.20e-2,
-7.768000e-2,8.20e-2,
-7.764000e-2,8.00e-2,
-7.760000e-2,8.20e-2,
-7.756000e-2,8.20e-2,
-7.752000e-2,8.20e-2,
-7.748000e-2,8.00e-2,
-7.744000e-2,8.60e-2,
-7.740000e-2,8.20e-2,
-7.736000e-2,8.40e-2,
-7.732000e-2,8.40e-2,
-7.728000e-2,8.40e-2,
-7.724000e-2,8.60e-2,
-7.720000e-2,8.40e-2,
-7.716000e-2,8.60e-2,
-7.712000e-2,8.40e-2,
-7.708000e-2,8.40e-2,
